"","name","genus","species","floron","radar"
"48","Anagallis tenella","Anagallis","tenella",TRUE,FALSE
"49","Anchusa officinalis","Anchusa","officinalis",TRUE,TRUE
"50","Andromeda polifolia","Andromeda","polifolia",TRUE,TRUE
"51","Anemone nemorosa","Anemone","nemorosa",TRUE,FALSE
"52","Pulsatilla vulgaris","Pulsatilla","vulgaris",TRUE,FALSE
"53","Anemone ranunculoides","Anemone","ranunculoides",TRUE,FALSE
"54","Angelica archangelica","Angelica","archangelica",TRUE,TRUE
"55","Angelica sylvestris","Angelica","sylvestris",TRUE,TRUE
"56","Antennaria dioica","Antennaria","dioica",TRUE,FALSE
"57","Anthemis arvensis","Anthemis","arvensis",TRUE,TRUE
"58","Anthemis cotula","Anthemis","cotula",TRUE,TRUE
"59","Anthemis tinctoria","Anthemis","tinctoria",TRUE,TRUE
"60","Anthericum liliago","Anthericum","liliago",TRUE,FALSE
"61","Anthoxanthum odoratum","Anthoxanthum","odoratum",TRUE,TRUE
"62","Anthoxanthum aristatum","Anthoxanthum","aristatum",TRUE,FALSE
"63","Anthriscus caucalis","Anthriscus","caucalis",TRUE,TRUE
"64","Anthriscus sylvestris","Anthriscus","sylvestris",TRUE,TRUE
"65","Anthyllis vulneraria","Anthyllis","vulneraria",TRUE,TRUE
"66","Misopates orontium","Misopates","orontium",TRUE,TRUE
"67","Apera spica-venti","Apera","spica-venti",TRUE,TRUE
"68","Aphanes arvensis","Aphanes","arvensis",TRUE,TRUE
"69","Aphanes australis","Aphanes","australis",TRUE,TRUE
"70","Apium graveolens","Apium","graveolens",TRUE,TRUE
"71","Helosciadium inundatum","Helosciadium","inundatum",TRUE,TRUE
"72","Helosciadium nodiflorum","Helosciadium","nodiflorum",TRUE,TRUE
"73","Helosciadium repens","Helosciadium","repens",TRUE,TRUE
"74","Aquilegia vulgaris","Aquilegia","vulgaris",TRUE,TRUE
"75","Arabidopsis thaliana","Arabidopsis","thaliana",TRUE,TRUE
"76","Arabis hirsuta subsp. hirsuta","Arabis","hirsuta subsp. hirsuta",TRUE,FALSE
